date,time,open,max,min,close,value
2011.09.09,00:00,1.38880,1.39354,1.36267,1.36529,117551
2011.09.12,00:00,1.35827,1.36930,1.34962,1.36383,116541
2011.09.13,00:00,1.36382,1.37385,1.35588,1.36821,145001
2011.09.14,00:00,1.36820,1.37826,1.35911,1.37475,145988
2011.09.15,00:00,1.37476,1.39357,1.37031,1.38803,88342
2011.09.16,00:00,1.38792,1.38792,1.37540,1.37923,74567
2011.09.19,00:00,1.36902,1.37209,1.35866,1.36231,137138
2011.09.20,00:00,1.36230,1.37435,1.35913,1.37067,147428
2011.09.21,00:00,1.37058,1.37909,1.35574,1.35791,96312
2011.09.22,00:00,1.35795,1.35863,1.33856,1.35043,108729
2011.09.23,00:00,1.35046,1.35666,1.34183,1.34947,163833
2011.09.26,00:00,1.35167,1.35470,1.33624,1.34962,164862
2011.09.27,00:00,1.34956,1.36676,1.34793,1.35854,145330
2011.09.28,00:00,1.35853,1.36895,1.35200,1.35225,149508
2011.09.29,00:00,1.35227,1.36791,1.35201,1.35964,105810
2011.09.30,00:00,1.35966,1.36014,1.33831,1.33840,81601
2011.10.03,00:00,1.33566,1.33808,1.31635,1.31903,155314
2011.10.04,00:00,1.31904,1.33691,1.31454,1.33173,176883
2011.10.05,00:00,1.33168,1.33834,1.32613,1.33425,158325
2011.10.06,00:00,1.33435,1.34488,1.32418,1.34266,162846
2011.10.07,00:00,1.34242,1.35243,1.33611,1.33749,104933
2011.10.10,00:00,1.33995,1.36978,1.33932,1.36264,127202
2011.10.11,00:00,1.36265,1.36832,1.35653,1.36330,138687
2011.10.12,00:00,1.36304,1.38330,1.35826,1.37776,120400
2011.10.13,00:00,1.37782,1.38263,1.36853,1.37524,155255
2011.10.14,00:00,1.37523,1.38937,1.37237,1.38776,131439
2011.10.17,00:00,1.38731,1.39138,1.37245,1.37441,126478
2011.10.18,00:00,1.37445,1.38168,1.36528,1.37326,144297
2011.10.19,00:00,1.37322,1.38687,1.37255,1.37672,116429
2011.10.20,00:00,1.37667,1.38424,1.36563,1.37939,158011
2011.10.21,00:00,1.37934,1.39005,1.37036,1.38922,128619
2011.10.24,00:00,1.38523,1.39558,1.38218,1.39194,133349
2011.10.25,00:00,1.39199,1.39599,1.38510,1.39002,144065
2011.10.26,00:00,1.39001,1.39735,1.37980,1.38852,148669
2011.10.27,00:00,1.38853,1.42468,1.38853,1.41988,150266
2011.10.28,00:00,1.41984,1.41984,1.41334,1.41487,121973
2011.10.31,00:00,1.41383,1.41706,1.38280,1.38589,142911
2011.11.01,00:00,1.38592,1.38705,1.36087,1.36552,105891
2011.11.02,00:00,1.36556,1.38277,1.36556,1.36889,95542
2011.11.03,00:00,1.36887,1.38545,1.36566,1.38226,176799
2011.11.04,00:00,1.38225,1.38681,1.37109,1.37907,139408
2011.11.07,00:00,1.37875,1.38130,1.36812,1.37589,129560
2011.11.08,00:00,1.37587,1.38466,1.37243,1.38251,127962
2011.11.09,00:00,1.38249,1.38585,1.35203,1.35262,161882
2011.11.10,00:00,1.35261,1.36524,1.34838,1.36091,151137
2011.11.11,00:00,1.36098,1.37946,1.35783,1.37543,108743
2011.11.14,00:00,1.37844,1.37869,1.35904,1.36238,120129
2011.11.15,00:00,1.36244,1.36405,1.34962,1.35039,120080
2011.11.16,00:00,1.35048,1.35565,1.34218,1.34397,131633
2011.11.17,00:00,1.34398,1.35393,1.34231,1.34537,143836
2011.11.18,00:00,1.34531,1.36139,1.34471,1.35151,122818
2011.11.21,00:00,1.35340,1.35401,1.34301,1.34832,67574
2011.11.22,00:00,1.34831,1.35681,1.34690,1.35182,97220
2011.11.23,00:00,1.35181,1.35306,1.33191,1.33443,118934
2011.11.24,00:00,1.33440,1.34111,1.33163,1.33308,78826
2011.11.25,00:00,1.33309,1.33333,1.32121,1.32328,97964
2011.11.28,00:00,1.33103,1.33981,1.32743,1.33145,106859
2011.11.29,00:00,1.33144,1.34422,1.32862,1.33227,115102
2011.11.30,00:00,1.33229,1.35326,1.32591,1.34418,126221
2011.12.01,00:00,1.34419,1.35208,1.34171,1.34660,112543
2011.12.02,00:00,1.34662,1.35484,1.33630,1.34031,98459
2011.12.05,00:00,1.34154,1.34859,1.33749,1.33865,97651
2011.12.06,00:00,1.33862,1.34275,1.33328,1.34092,104305
2011.12.07,00:00,1.34090,1.34531,1.33507,1.33987,97768
2011.12.08,00:00,1.33988,1.34588,1.32889,1.33451,110362
2011.12.09,00:00,1.33453,1.34335,1.32814,1.33671,110622
2011.12.12,00:00,1.33701,1.33770,1.31612,1.31645,100544
2011.12.13,00:00,1.31644,1.32364,1.30091,1.30184,113658
2011.12.14,00:00,1.30191,1.30642,1.29446,1.29854,113877
2011.12.15,00:00,1.29858,1.30496,1.29570,1.30289,106198
2011.12.16,00:00,1.30290,1.30837,1.29947,1.30368,86905
2011.12.19,00:00,1.30355,1.30438,1.29829,1.30064,91165
2011.12.20,00:00,1.30066,1.31310,1.29948,1.30860,84162
2011.12.21,00:00,1.30859,1.31971,1.30252,1.30357,59762
2011.12.22,00:00,1.30358,1.31186,1.30174,1.30543,46806
2011.12.23,00:00,1.30545,1.30959,1.30279,1.30434,37815
2011.12.26,00:00,1.30550,1.30815,1.30420,1.30480,8548
2011.12.27,00:00,1.30481,1.30829,1.30431,1.30682,43665
2011.12.28,00:00,1.30680,1.30798,1.29120,1.29245,75229
2011.12.29,00:00,1.29248,1.29647,1.28584,1.29520,82452
2011.12.30,00:00,1.29514,1.29985,1.29043,1.29418,59851
2012.01.02,00:00,1.29456,1.29681,1.29175,1.29365,15234
2012.01.03,00:00,1.29364,1.30757,1.29353,1.30534,86796
2012.01.04,00:00,1.30535,1.30724,1.28975,1.29305,106192
2012.01.05,00:00,1.29304,1.29437,1.27711,1.27917,101424
2012.01.06,00:00,1.27916,1.28114,1.26974,1.27215,75437
2012.01.09,00:00,1.26797,1.27849,1.26775,1.27723,110472
2012.01.10,00:00,1.27725,1.28178,1.27425,1.27531,115215
2012.01.11,00:00,1.27533,1.27897,1.26614,1.27221,119445
2012.01.12,00:00,1.27220,1.28446,1.26989,1.28201,118700
